상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,SINGSONG FOOD CORP.,장류,2009,"55, Busong 1-gil, Jiksan-eup, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",www.singsong.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Chilgapsan Mother Hangwa,제조업,2006,"1012-59, Chungjeol-ro, Cheongyang-eup, Cheongyang-gun, Chungcheongnam-do,korea",WWW.어머니한과.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"PANAXKOREA CO,LTD","인삼홍삼제품,과실음료,건강식품",1999,"7-48, IT valley-gil, Gonggeun-myeon, Hoengseong-gun, Gangwon-do, Korea",www.panaxkorea.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"MIWAMI CO., LTD",다류 수출업 무역,2009,"840-1 Noam-dong, Namwon-si, Jeollabuk-do, Korea",www.miwami.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"DAEKWANG F&G CO.,LTD",제조업외,1990,,www.dkfng.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"SAONGWON CO.,LTD","냉동식품,수출업",1995,"76-17, Hansam-ro 153beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",www.saongwon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,[K10] FRESHIS CO LTD,무역업,2014,,http://www.freshisland.co.kr/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"worldfood co.,ltd",도매업및소매업,2000,"45-78, yonggu-dae",www.murgerbon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Agricultral Corporation Cheongdo Wongam Co.,Ltd",제조업,2016,"574, Saemaeul-ro, Cheongdo-eup, Cheongdo-gun, Gyeongsangbuk-do, Republic of Korea",www.wongam.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"YOUNG POONG CO.,LTD",농식품가공,1993,"64, Seongseogongdanbuk-ro, Dalseo-gu, Daegu, 42712, KOREA",http://www.ypfoods.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Maeum Food,식품,2016,"11-7, Geumgang-ro 2-gil, Nongong-eup, Dalseong-gun, Daegu",없음
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"KKOSUM Food Agricultural Co.,Ltd.",농산물가공,2016,,www.kkosum.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Jayeon Farm Farming Corp.,"작물재배업, 들기름, 과일, 채소",2016,"37-16, Yeongju-ro 60beon-gil, Yeongju-si, Gyeongsangbuk-do, 36136, Rep. of KOREA",omega3oil.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Eromglobal,"무역, 농산물, 건강식품",2015,"111, Toegyenonggong-ro, Chuncheon-si, Gangwon-do, Republic of Korea",
